index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
attack_angle_sigma_log__,1.608,0.001,1.606,1.611,0.0,0.0,2361.0,1336.0,1.0
Intercept,-14.468,0.216,-14.877,-14.082,0.028,0.012,61.0,147.0,1.07
1|batter_sigma_log__,1.712,0.029,1.66,1.764,0.002,0.001,165.0,389.0,1.04
1|batter:count_type_sigma_log__,-0.874,0.066,-1.006,-0.755,0.003,0.002,492.0,669.0,1.0
int_y|batter_sigma_log__,-0.198,0.028,-0.265,-0.159,0.01,0.007,12.0,18.0,1.34
int_y|batter:count_type_sigma_log__,-4.648,0.114,-4.859,-4.443,0.006,0.005,395.0,535.0,1.0
attack_angle_sigma,4.994,0.007,4.982,5.006,0.0,0.0,2361.0,1336.0,1.0
1|batter_sigma,5.544,0.159,5.229,5.806,0.012,0.005,165.0,389.0,1.04
1|batter:count_type_sigma,0.418,0.027,0.362,0.466,0.001,0.001,492.0,669.0,1.0
int_y|batter_sigma,0.821,0.023,0.767,0.853,0.008,0.006,12.0,18.0,1.33
int_y|batter:count_type_sigma,0.01,0.001,0.008,0.012,0.0,0.0,395.0,535.0,1.0
1|batter[444482],-0.901,0.712,-2.357,0.353,0.023,0.016,971.0,1323.0,1.0
1|batter[453568],-0.695,0.672,-1.875,0.578,0.026,0.015,694.0,1193.0,1.01
1|batter[455117],5.744,1.136,3.675,7.826,0.033,0.029,1169.0,1078.0,1.01
1|batter[456781],-3.912,0.696,-5.205,-2.617,0.027,0.015,681.0,1522.0,1.01
1|batter[457705],5.98,0.577,4.957,7.118,0.023,0.013,607.0,1565.0,1.01
1|batter[457759],-7.194,0.772,-8.685,-5.88,0.031,0.019,627.0,976.0,1.0
1|batter[467793],2.314,0.662,1.111,3.511,0.027,0.015,625.0,1320.0,1.01
1|batter[493329],1.862,1.476,-0.7,4.767,0.034,0.035,1904.0,1474.0,1.0
1|batter[500743],-9.05,0.804,-10.554,-7.607,0.021,0.018,1457.0,1019.0,1.0
1|batter[501303],-1.119,1.788,-4.71,2.135,0.037,0.044,2315.0,1542.0,1.0
1|batter[502054],2.493,0.685,1.162,3.686,0.029,0.015,546.0,1252.0,1.01
1|batter[502110],2.79,0.536,1.872,3.883,0.027,0.013,384.0,1122.0,1.01
1|batter[502671],9.403,0.429,8.606,10.203,0.024,0.008,325.0,1029.0,1.01
1|batter[514888],9.389,0.541,8.47,10.488,0.023,0.013,551.0,743.0,1.01
1|batter[516782],1.266,0.561,0.197,2.28,0.024,0.012,538.0,1136.0,1.01
1|batter[518595],6.17,0.708,4.823,7.435,0.023,0.016,926.0,1297.0,1.0
1|batter[518692],-8.893,0.536,-9.871,-7.908,0.024,0.01,487.0,1361.0,1.01
