index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
attack_direction_sigma_log__,1.728,0.001,1.725,1.73,0.0,0.0,3538.0,1406.0,1.0
Intercept,45.638,0.239,45.17,46.076,0.066,0.022,13.0,48.0,1.22
1|batter_sigma_log__,1.685,0.031,1.631,1.751,0.003,0.002,113.0,129.0,1.04
1|batter:count_type_sigma_log__,-0.695,0.07,-0.834,-0.572,0.004,0.002,380.0,824.0,1.01
int_y|batter_sigma_log__,0.463,0.036,0.408,0.534,0.017,0.008,5.0,15.0,2.46
int_y|batter:count_type_sigma_log__,-4.184,0.076,-4.32,-4.034,0.004,0.002,336.0,761.0,1.02
attack_direction_sigma,5.628,0.007,5.614,5.641,0.0,0.0,3538.0,1406.0,1.0
1|batter_sigma,5.397,0.168,5.109,5.763,0.016,0.011,113.0,129.0,1.04
1|batter:count_type_sigma,0.5,0.035,0.434,0.565,0.002,0.001,380.0,824.0,1.01
int_y|batter_sigma,1.591,0.058,1.504,1.706,0.028,0.013,5.0,15.0,2.46
int_y|batter:count_type_sigma,0.015,0.001,0.013,0.017,0.0,0.0,336.0,761.0,1.02
1|batter[444482],-3.439,0.795,-5.003,-1.966,0.032,0.015,611.0,1455.0,1.02
1|batter[453568],-2.429,0.79,-3.892,-0.927,0.037,0.017,456.0,1039.0,1.02
1|batter[455117],0.273,1.308,-2.154,2.793,0.039,0.026,1152.0,1324.0,1.0
1|batter[456781],-7.253,0.804,-8.784,-5.806,0.032,0.02,627.0,1207.0,1.01
1|batter[457705],-3.397,0.687,-4.624,-2.114,0.035,0.016,397.0,1026.0,1.01
1|batter[457759],7.967,0.826,6.439,9.544,0.032,0.017,670.0,1080.0,1.01
1|batter[467793],5.911,0.747,4.468,7.294,0.04,0.016,346.0,1037.0,1.02
1|batter[493329],-15.005,1.604,-17.963,-12.004,0.044,0.034,1348.0,1357.0,1.0
1|batter[500743],0.717,0.866,-0.957,2.211,0.035,0.019,596.0,1181.0,1.01
1|batter[501303],-5.547,1.936,-9.222,-2.043,0.045,0.039,1849.0,1603.0,1.0
1|batter[502054],7.591,0.774,6.122,8.975,0.058,0.014,180.0,1213.0,1.02
