index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
bat_speed_sigma_log__,1.228,0.001,1.225,1.23,0.0,0.0,2042.0,1208.0,1.0
Intercept,62.712,0.178,62.375,63.046,0.005,0.004,1174.0,1325.0,1.0
1|batter_sigma_log__,1.445,0.033,1.381,1.504,0.001,0.001,1381.0,1313.0,1.0
1|batter:count_type_sigma_log__,-0.143,0.028,-0.194,-0.093,0.001,0.0,1652.0,1929.0,1.0
int_y|batter_sigma_log__,-0.681,0.027,-0.73,-0.628,0.002,0.001,247.0,363.0,1.01
int_y|batter:count_type_sigma_log__,-4.215,0.064,-4.338,-4.108,0.002,0.001,864.0,1623.0,1.0
int_y_squared|batter_sigma_log__,-4.996,0.029,-5.05,-4.943,0.001,0.001,483.0,912.0,1.0
int_y_squared|batter:count_type_sigma_log__,-10.612,1.118,-12.792,-9.089,0.025,0.037,1985.0,1485.0,1.0
bat_speed_sigma,3.415,0.005,3.406,3.423,0.0,0.0,2042.0,1208.0,1.0
1|batter_sigma,4.242,0.141,3.978,4.501,0.004,0.003,1381.0,1313.0,1.0
1|batter:count_type_sigma,0.867,0.024,0.821,0.908,0.001,0.0,1652.0,1929.0,1.0
int_y|batter_sigma,0.506,0.014,0.482,0.534,0.001,0.0,247.0,363.0,1.01
int_y|batter:count_type_sigma,0.015,0.001,0.013,0.016,0.0,0.0,864.0,1623.0,1.0
int_y_squared|batter_sigma,0.007,0.0,0.006,0.007,0.0,0.0,483.0,912.0,1.0
int_y_squared|batter:count_type_sigma,0.0,0.0,0.0,0.0,0.0,0.0,1985.0,1485.0,1.0
1|batter[455117],-2.011,1.61,-5.17,0.927,0.025,0.043,4064.0,1460.0,1.0
1|batter[456781],-4.267,1.221,-6.481,-1.902,0.021,0.03,3388.0,1192.0,1.0
1|batter[457705],4.232,0.766,2.816,5.659,0.013,0.018,3310.0,1481.0,1.0
1|batter[457759],-6.567,2.171,-10.448,-2.372,0.035,0.065,3752.0,1245.0,1.0
1|batter[467793],-1.583,1.138,-3.699,0.548,0.019,0.026,3632.0,1399.0,1.0
1|batter[493329],2.77,2.415,-1.713,7.27,0.037,0.067,4261.0,1496.0,1.0
1|batter[500743],-5.078,1.353,-7.66,-2.586,0.019,0.031,4923.0,1498.0,1.0
1|batter[502054],1.99,1.145,-0.395,3.947,0.016,0.027,4815.0,1645.0,1.0
1|batter[502671],6.687,0.621,5.58,7.865,0.013,0.013,2429.0,1549.0,1.0
1|batter[506702],-3.67,3.205,-9.458,2.691,0.061,0.079,2706.0,1342.0,1.0
1|batter[514888],-1.392,0.874,-3.085,0.214,0.014,0.024,3846.0,1631.0,1.0
1|batter[516782],0.941,0.75,-0.394,2.446,0.015,0.016,2469.0,1515.0,1.0
1|batter[518595],-0.804,1.259,-3.188,1.514,0.02,0.029,3800.0,1478.0,1.0
1|batter[518692],-1.648,0.764,-3.073,-0.256,0.014,0.017,2973.0,1564.0,1.0
1|batter[518792],5.412,1.297,2.78,7.637,0.022,0.029,3485.0,1633.0,1.0
1|batter[518934],-2.134,1.076,-4.159,-0.158,0.021,0.025,2677.0,1509.0,1.0
1|batter[519317],13.993,0.83,12.496,15.602,0.016,0.018,2681.0,1680.0,1.0
1|batter[521692],3.183,0.83,1.721,4.79,0.015,0.02,3122.0,1447.0,1.0
1|batter[527038],-6.783,1.041,-8.734,-4.829,0.017,0.026,3607.0,1565.0,1.0
1|batter[542303],-2.241,1.036,-4.126,-0.218,0.016,0.024,4036.0,1527.0,1.0
1|batter[542932],2.906,1.299,0.462,5.366,0.025,0.033,2788.0,1391.0,1.01
1|batter[542963],0.513,3.299,-4.968,7.037,0.064,0.156,2741.0,949.0,1.0
1|batter[543309],-1.307,1.16,-3.383,1.034,0.019,0.03,3789.0,1402.0,1.0
1|batter[543510],-4.069,2.06,-7.909,-0.141,0.032,0.06,4061.0,1588.0,1.01
1|batter[543592],2.963,2.099,-0.731,7.023,0.038,0.053,3004.0,1322.0,1.0
1|batter[543760],-3.764,1.183,-6.106,-1.668,0.021,0.028,3301.0,1622.0,1.0
1|batter[543807],4.64,0.677,3.421,5.916,0.013,0.016,2664.0,1503.0,1.0
1|batter[543877],-4.981,1.747,-8.35,-1.763,0.03,0.045,3510.0,1409.0,1.0
1|batter[545121],2.197,1.226,-0.042,4.478,0.022,0.027,3156.0,1498.0,1.0
1|batter[545341],3.65,1.104,1.55,5.784,0.017,0.026,4291.0,1434.0,1.0
1|batter[545358],3.721,3.605,-3.101,10.375,0.079,0.087,2080.0,1392.0,1.0
1|batter[545361],6.033,0.812,4.518,7.553,0.015,0.017,2986.0,1576.0,1.0
